longitude,latitude
[ 8.84305763],[ 47.60521317]
[ 8.84305191],[ 47.60522842]
[ 8.84305954],[ 47.60525513]
[ 8.84306335],[ 47.60528564]
[ 8.84307671],[ 47.60532761]
[ 8.84306335],[ 47.60533524]
[ 8.84303761],[ 47.60536194]
[ 8.84302616],[ 47.60539627]
[ 8.84308147],[ 47.60541534]
[ 8.84320545],[ 47.60544968]
[ 8.84320641],[ 47.6054039]
[ 8.84315109],[ 47.60525894]
[ 8.84311104],[ 47.60511398]
[ 8.8430872],[ 47.6050148]
[ 8.84309864],[ 47.60502243]
[ 8.8431263],[ 47.60509109]
[ 8.8431139],[ 47.60514832]
[ 8.84309483],[ 47.60519028]
[ 8.8431015],[ 47.60522461]
[ 8.84310627],[ 47.60523987]
[ 8.84309673],[ 47.60524368]
[ 8.84311295],[ 47.60523224]
[ 8.84313488],[ 47.60520172]
[ 8.84316921],[ 47.60518265]
[ 8.84319305],[ 47.6051712]
[ 8.84318542],[ 47.60516357]
[ 8.84314919],[ 47.60517502]
[ 8.84313679],[ 47.60519791]
[ 8.84315872],[ 47.60517883]
[ 8.84315968],[ 47.60518646]
[ 8.8431654],[ 47.60521698]
[ 8.84315968],[ 47.60523224]
[ 8.84312153],[ 47.60525131]
[ 8.84308529],[ 47.60526657]
[ 8.84306431],[ 47.60527802]
[ 8.84306431],[ 47.60526657]
[ 8.84307289],[ 47.60526276]
[ 8.84305859],[ 47.60527039]
[ 8.84305954],[ 47.60526276]
[ 8.84307289],[ 47.60523987]
[ 8.84309483],[ 47.60521698]
[ 8.84310532],[ 47.60521698]
[ 8.84311771],[ 47.60522461]
[ 8.84313774],[ 47.60523224]
[ 8.84315777],[ 47.60525513]
[ 8.84316444],[ 47.60527039]
[ 8.84315968],[ 47.6052742]
[ 8.84314442],[ 47.60526657]
[ 8.84311676],[ 47.60525513]
[ 8.84309101],[ 47.60525131]
[ 8.84306622],[ 47.60523605]
[ 8.84305573],[ 47.60523224]
[ 8.84305954],[ 47.60523605]
[ 8.84305191],[ 47.60525131]
[ 8.84305286],[ 47.60525131]
[ 8.8430624],[ 47.60526276]
[ 8.84305954],[ 47.60527039]
[ 8.84303379],[ 47.60527039]
