longitude,latitude
[ 8.93878841],[ 47.7466011]
[ 8.93877029],[ 47.74661255]
[ 8.93877792],[ 47.74664688]
[ 8.93880558],[ 47.74668503]
[ 8.9387455],[ 47.74670029]
[ 8.93882847],[ 47.74673843]
[ 8.93878746],[ 47.74674606]
[ 8.9387188],[ 47.74676895]
[ 8.93878555],[ 47.74685287]
[ 8.93895245],[ 47.74682999]
[ 8.93901634],[ 47.74682236]
[ 8.93889809],[ 47.74662781]
[ 8.93884468],[ 47.74649429]
[ 8.93880939],[ 47.74639893]
[ 8.93882179],[ 47.74639511]
[ 8.93885326],[ 47.74647903]
[ 8.93887138],[ 47.74652863]
[ 8.93880939],[ 47.74657822]
[ 8.93882847],[ 47.74660873]
[ 8.93885803],[ 47.74664307]
[ 8.93883705],[ 47.74662399]
[ 8.93885803],[ 47.74662781]
[ 8.93889332],[ 47.74658966]
[ 8.93889332],[ 47.74655914]
[ 8.93891048],[ 47.74655914]
[ 8.9389658],[ 47.74655914]
[ 8.93890381],[ 47.74655914]
[ 8.93887234],[ 47.74656296]
[ 8.93891335],[ 47.74658203]
[ 8.93888569],[ 47.74656677]
[ 8.93890095],[ 47.7466011]
[ 8.93889141],[ 47.74662781]
[ 8.93885803],[ 47.74663925]
[ 8.93884468],[ 47.74666977]
[ 8.93877411],[ 47.7466507]
[ 8.93877411],[ 47.74666214]
[ 8.93881416],[ 47.74666595]
[ 8.93879986],[ 47.74665451]
[ 8.93878078],[ 47.74664688]
[ 8.93879604],[ 47.74662399]
[ 8.93883991],[ 47.74660492]
[ 8.93884754],[ 47.74660492]
[ 8.93884373],[ 47.74661255]
[ 8.93899441],[ 47.74663162]
[ 8.9396019],[ 47.74664688]
[ 8.93922138],[ 47.74649048]
[ 8.93870258],[ 47.746418]
[ 8.93862343],[ 47.74670792]
[ 8.93859291],[ 47.74664688]
[ 8.93861198],[ 47.74669266]
[ 8.93852711],[ 47.7466507]
[ 8.93859386],[ 47.74665833]
[ 8.93846512],[ 47.74665833]
[ 8.9385004],[ 47.74666977]
[ 8.93854427],[ 47.7467308]
[ 8.93853664],[ 47.74666214]
[ 8.93857002],[ 47.74671555]
[ 8.93851376],[ 47.74668503]
[ 8.93854618],[ 47.74668884]
[ 8.93854618],[ 47.7466774]
[ 8.93854713],[ 47.74666595]
[ 8.93862534],[ 47.74669266]
[ 8.93849659],[ 47.74666214]
[ 8.9385891],[ 47.74669266]
[ 8.93872166],[ 47.74669266]
[ 8.93861771],[ 47.74659729]
[ 8.93856144],[ 47.74664307]
[ 8.93858337],[ 47.74666595]
[ 8.93857002],[ 47.74666595]
[ 8.93850994],[ 47.74666977]
[ 8.93852043],[ 47.74666214]
[ 8.93858624],[ 47.74666214]
[ 8.93855762],[ 47.74662018]
[ 8.93839359],[ 47.74660492]
[ 8.93842793],[ 47.74665833]
[ 8.9385004],[ 47.74668121]
[ 8.93867397],[ 47.74663544]
[ 8.93865681],[ 47.74662399]
[ 8.93851852],[ 47.74657059]
[ 8.93851662],[ 47.7466507]
[ 8.93858242],[ 47.74666977]
[ 8.93858051],[ 47.74666214]
[ 8.9385643],[ 47.74668503]
[ 8.93855572],[ 47.74671555]
[ 8.84303284],[ 47.772892]
[ 8.91698551],[ 47.73868179]
[ 8.8900671],[ 47.75070572]
[ 4.57519007],[ 23.8449707]
[ 6.66831875],[ 35.84946823]
[ 7.81467295],[ 41.75932312]
[ 8.36517239],[ 44.77700806]
[ 8.65421581],[ 46.25724792]
[ 8.80322266],[ 47.00354767]
[ 8.87323666],[ 47.37290192]
[ 8.90639114],[ 47.55955124]
[ 8.92254066],[ 47.65312958]
[ 8.9306469],[ 47.69988251]
[ 8.93459988],[ 47.72332764]
[ 8.93660927],[ 47.73498154]
[ 8.93745899],[ 47.74087524]
[ 8.9379921],[ 47.7437439]
[ 8.9383297],[ 47.74526596]
[ 8.93840408],[ 47.7458725]
[ 8.93848038],[ 47.74626923]
[ 8.93849659],[ 47.74644089]
[ 8.93848991],[ 47.74653244]
[ 8.93851089],[ 47.74658966]
[ 8.93853378],[ 47.74662018]
[ 8.93855953],[ 47.74663162]
[ 8.93861198],[ 47.74662781]
[ 8.93841457],[ 47.74660873]
[ 8.93848228],[ 47.74664688]
[ 8.93863487],[ 47.74670029]
[ 8.93779469],[ 47.74658203]
[ 8.93873596],[ 47.74685669]
[ 8.93844414],[ 47.74682617]
[ 8.93876648],[ 47.74645615]
[ 8.93915176],[ 47.74689484]
[ 8.93750954],[ 47.74625015]
[ 8.93780708],[ 47.74691772]
[ 8.93881893],[ 47.74710464]
[ 8.93888474],[ 47.74655533]
[ 8.93888378],[ 47.74668121]
[ 8.93887997],[ 47.74664307]
[ 8.93886662],[ 47.74664688]
[ 8.93886852],[ 47.7466507]
[ 8.93893719],[ 47.74666977]
[ 8.93889809],[ 47.74666214]
[ 8.93884659],[ 47.74663925]
[ 8.93885422],[ 47.74667358]
[ 8.93889618],[ 47.74664307]
[ 8.93889809],[ 47.74664307]
[ 8.93889236],[ 47.74666595]
[ 8.93888092],[ 47.74670029]
[ 8.93893337],[ 47.74670792]
[ 8.93893147],[ 47.7467041]
[ 8.93887901],[ 47.7466774]
[ 8.93891335],[ 47.74669266]
[ 8.93893433],[ 47.74668503]
[ 8.93892002],[ 47.74668121]
[ 8.93892574],[ 47.74666214]
[ 8.93892288],[ 47.74664307]
[ 8.9389019],[ 47.74663162]
[ 8.93896008],[ 47.74664307]
[ 8.93894577],[ 47.74661636]
[ 8.9389267],[ 47.74658203]
[ 8.93897533],[ 47.74657822]
[ 8.93902111],[ 47.74656296]
[ 8.93898964],[ 47.7466011]
[ 8.93893051],[ 47.74663162]
[ 8.93894005],[ 47.74666214]
[ 8.93895054],[ 47.74665833]
[ 8.93894005],[ 47.74664688]
[ 8.93887711],[ 47.74663162]
[ 8.93907452],[ 47.74666214]
[ 8.93898582],[ 47.74666214]
[ 8.9389019],[ 47.74668503]
[ 8.93899441],[ 47.74682999]
[ 8.93901539],[ 47.74670792]
[ 8.93896675],[ 47.74668884]
[ 8.93892288],[ 47.74664688]
[ 8.93885136],[ 47.74663544]
[ 8.93883419],[ 47.74663162]
[ 8.93880844],[ 47.74666214]
[ 8.93885899],[ 47.74666595]
[ 8.93882084],[ 47.74664688]
[ 8.93881321],[ 47.74658203]
[ 8.93877411],[ 47.7465744]
[ 8.93881226],[ 47.74653625]
[ 8.93882179],[ 47.74661255]
[ 8.93888283],[ 47.74662399]
[ 8.93888474],[ 47.74666595]
[ 8.93885136],[ 47.7466507]
[ 8.93889523],[ 47.74671936]
[ 8.93889809],[ 47.74668121]
[ 8.93889236],[ 47.74668121]
[ 8.93889046],[ 47.74668884]
[ 8.9388752],[ 47.74667358]
[ 8.93887806],[ 47.74667358]
[ 8.93891525],[ 47.74665451]
[ 8.93879604],[ 47.74663544]
[ 8.93884945],[ 47.74664688]
[ 8.93886375],[ 47.74667358]
[ 8.93874454],[ 47.7466507]
[ 8.93877316],[ 47.74669266]
