longitude,latitude
[-5.99649048],[ 35.02998734]
[-5.98497009],[ 35.02955246]
[-5.98397827],[ 35.02380371]
[-5.98397446],[ 35.02384949]
[-5.98396492],[ 35.02388382]
[-5.98393488],[ 35.02388763]
[-5.98396206],[ 35.02388763]
[-5.98394775],[ 35.02386093]
[-5.98394156],[ 35.02384949]
[-5.9839325],[ 35.02383423]
[-5.98392582],[ 35.02383423]
[-5.98392534],[ 35.02383423]
[-5.9839325],[ 35.02383423]
[-5.98392534],[ 35.02383423]
[-5.98394346],[ 35.02383041]
[-5.98395014],[ 35.02383804]
[-5.98393869],[ 35.0238266]
[-5.98393869],[ 35.02382278]
[-5.98393297],[ 35.02381897]
[-5.98392963],[ 35.02380753]
[-5.98392391],[ 35.02380371]
[-5.98393536],[ 35.0237999]
[-5.98393583],[ 35.02380371]
[-5.98393726],[ 35.02379608]
[-5.98394156],[ 35.02380371]
[-5.98394108],[ 35.02379227]
[-5.98394632],[ 35.02378845]
[-5.9839468],[ 35.02378845]
[-5.98394775],[ 35.02378464]
[-5.98395061],[ 35.02377319]
[-5.98395681],[ 35.02376938]
[-5.9839654],[ 35.02376556]
[-5.98395014],[ 35.02376556]
[-5.98393631],[ 35.02376938]
[-5.9839263],[ 35.02377319]
[-5.98392391],[ 35.02376556]
[-5.9839201],[ 35.02376938]
[-5.98392344],[ 35.02376175]
[-5.98392916],[ 35.02375031]
[-5.98393965],[ 35.02372742]
[-5.98394632],[ 35.02370834]
[-5.98393869],[ 35.02368164]
[-5.98393011],[ 35.02365494]
[-5.98393011],[ 35.02360916]
[-5.98383141],[ 35.02357101]
[-5.98361874],[ 35.02351379]
[-5.98329639],[ 35.02351379]
[-5.98348331],[ 35.02364349]
[-5.98325253],[ 35.02372742]
[-5.9825058],[ 35.022789]
[-5.98257875],[ 35.02308273]
[-5.98283529],[ 35.02340317]
[-5.98284101],[ 35.02330017]
[-5.9828167],[ 35.02334595]
[-5.98273659],[ 35.02321243]
[-5.98264217],[ 35.02295685]
[-5.98226881],[ 35.02243423]
[-5.98184633],[ 35.02193069]
[-5.98154974],[ 35.02163315]
[-5.98137951],[ 35.02142715]
