longitude,latitude
[ 8.84300327],[ 47.60531235]
[ 8.84297943],[ 47.60533524]
[ 8.8429575],[ 47.60535431]
[ 8.84294701],[ 47.60536957]
[ 8.84294891],[ 47.60535812]
[ 8.84295654],[ 47.60533142]
[ 8.84295368],[ 47.60531616]
[ 8.84294796],[ 47.60531235]
[ 8.84292603],[ 47.60531235]
[ 8.84289551],[ 47.60531998]
[ 8.84288406],[ 47.60531998]
[ 8.8428688],[ 47.60530472]
[ 8.84286594],[ 47.60528183]
[ 8.84289837],[ 47.60531235]
[ 8.84293652],[ 47.60536194]
[ 8.84298229],[ 47.60541534]
[ 8.84308434],[ 47.60551071]
[ 8.84307766],[ 47.60551071]
[ 8.843009],[ 47.60539627]
[ 8.84298229],[ 47.60534668]
[ 8.84297943],[ 47.60536194]
[ 8.84297466],[ 47.60533524]
[ 8.84296131],[ 47.60531998]
[ 8.84294987],[ 47.60535431]
[ 8.84294701],[ 47.60536957]
[ 8.84295654],[ 47.60538483]
[ 8.84296703],[ 47.60538101]
[ 8.84298325],[ 47.60537338]
[ 8.84298706],[ 47.60538101]
[ 8.84296036],[ 47.60538483]
[ 8.8429451],[ 47.60539246]
[ 8.84292412],[ 47.6054039]
[ 8.84292889],[ 47.60539627]
[ 8.84297085],[ 47.60540009]
[ 8.84296894],[ 47.60541534]
[ 8.84293556],[ 47.60544586]
[ 8.84291553],[ 47.60543823]
[ 8.84292316],[ 47.60542297]
[ 8.84291935],[ 47.6054039]
[ 8.84291267],[ 47.60538864]
[ 8.84292316],[ 47.60537338]
[ 8.84293556],[ 47.60536957]
[ 8.84293842],[ 47.6053772]
[ 8.84293747],[ 47.60538101]
[ 8.84294224],[ 47.60539627]
[ 8.84297085],[ 47.60540009]
[ 8.84298038],[ 47.60538101]
[ 8.84297752],[ 47.60536194]
[ 8.84297276],[ 47.60535812]
[ 8.84298706],[ 47.60536957]
[ 8.84301281],[ 47.60535049]
[ 8.84301472],[ 47.60535431]
[ 8.84300804],[ 47.60536575]
[ 8.84298897],[ 47.60535812]
[ 8.84296894],[ 47.60534668]
[ 8.84297276],[ 47.60533905]
[ 8.84296417],[ 47.60534668]
[ 8.84295273],[ 47.60535431]
[ 8.84294605],[ 47.60536194]
[ 8.84293175],[ 47.60535812]
[ 8.84292603],[ 47.60535431]
[ 8.84292507],[ 47.60534286]
[ 8.84293652],[ 47.60533524]
[ 8.84296322],[ 47.60533524]
[ 8.8429718],[ 47.60533524]
[ 8.84295654],[ 47.60532379]
[ 8.84296894],[ 47.60531998]
[ 8.84296608],[ 47.60531616]
[ 8.84295177],[ 47.60531616]
[ 8.84295654],[ 47.60530472]
[ 8.84295464],[ 47.60531235]
[ 8.84295368],[ 47.60533142]
[ 8.84295177],[ 47.60535049]
[ 8.84293556],[ 47.60535049]
[ 8.84291267],[ 47.60534668]
[ 8.84290886],[ 47.60535431]
[ 8.842906],[ 47.60537338]
[ 8.84291458],[ 47.60536575]
[ 8.84292316],[ 47.60535812]
[ 8.84292603],[ 47.60538101]
[ 8.84293365],[ 47.6054039]
[ 8.84294891],[ 47.60543442]
[ 8.8429594],[ 47.60548401]
[ 8.84296703],[ 47.60546494]
[ 8.8429594],[ 47.6054039]
[ 8.84295177],[ 47.60538101]
[ 8.84293175],[ 47.60535431]
[ 8.76076603],[ 47.71540451]
[ 8.78025627],[ 47.75269318]
[ 8.69610691],[ 47.91665649]
[ 4.56215334],[ 23.60920143]
[ 6.61643028],[ 35.92498016]
[ 7.76485395],[ 41.65179443]
[ 8.31611347],[ 44.66570663]
[ 8.58877754],[ 46.14726257]
[ 8.72829342],[ 46.88146973]
[ 8.78952694],[ 47.24198532]
[ 8.81677055],[ 47.42344666]
[ 8.82997227],[ 47.51425171]
[ 8.83652115],[ 47.55979538]
[ 8.83974266],[ 47.58255768]
[ 8.84135151],[ 47.59394073]
[ 8.84215927],[ 47.59964371]
[ 8.84255981],[ 47.60250854]
[ 8.84273243],[ 47.60396576]
[ 8.84282684],[ 47.60469437]
[ 8.84289646],[ 47.60503387]
[ 8.84293079],[ 47.60520935]
[ 8.84294796],[ 47.60528183]
[ 8.84295654],[ 47.60533524]
[ 8.84296227],[ 47.60536575]
[ 8.84296131],[ 47.60538483]
[ 8.84296131],[ 47.60538864]
[ 8.84297276],[ 47.6053772]
[ 8.84302616],[ 47.60533905]
[ 8.84303379],[ 47.60531998]
[ 8.8430109],[ 47.60533905]
[ 8.84298706],[ 47.60535812]
[ 8.84297466],[ 47.60535812]
[ 8.84296131],[ 47.60535812]
[ 8.84295082],[ 47.60536957]
[ 8.8429594],[ 47.60536957]
[ 8.84297085],[ 47.60536575]
[ 8.84297276],[ 47.60535812]
[ 8.84297371],[ 47.60535049]
[ 8.84297085],[ 47.60534668]
[ 8.84296417],[ 47.60534286]
[ 8.84296036],[ 47.60534286]
[ 8.8429575],[ 47.60534668]
[ 8.84296036],[ 47.60536575]
[ 8.84297466],[ 47.60537338]
[ 8.84297752],[ 47.60538101]
[ 8.84297276],[ 47.60538101]
[ 8.84296894],[ 47.60538101]
[ 8.84297562],[ 47.60539246]
[ 8.84298325],[ 47.60541534]
[ 8.84298992],[ 47.60542679]
[ 8.84299374],[ 47.60542297]
[ 8.84299469],[ 47.60541534]
[ 8.84300518],[ 47.60540009]
[ 8.84300041],[ 47.60540009]
[ 8.8429985],[ 47.60539627]
[ 8.84302139],[ 47.60538864]
[ 8.84302139],[ 47.6053772]
[ 8.84301281],[ 47.60536194]
[ 8.84300804],[ 47.60530472]
[ 8.84302425],[ 47.60518265]
[ 8.84302711],[ 47.60512543]
[ 8.84301758],[ 47.60516739]
[ 8.84300518],[ 47.60520554]
[ 8.8429985],[ 47.60524368]
[ 8.8429966],[ 47.6052742]
[ 8.84299564],[ 47.60529327]
[ 8.84298611],[ 47.60532761]
